date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,vehicle_category_logo
2023-03-01,Sikkim,2-Wheelers,0,454,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-03-01,Sikkim,4-Wheelers,0,505,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-04-01,Sikkim,2-Wheelers,0,465,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-04-01,Sikkim,4-Wheelers,0,439,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-05-01,Sikkim,2-Wheelers,0,507,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-05-01,Sikkim,4-Wheelers,0,448,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-06-01,Sikkim,2-Wheelers,0,517,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-06-01,Sikkim,4-Wheelers,0,457,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-07-01,Sikkim,2-Wheelers,0,423,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-07-01,Sikkim,4-Wheelers,0,371,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-08-01,Sikkim,2-Wheelers,0,465,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-08-01,Sikkim,4-Wheelers,0,460,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-09-01,Sikkim,2-Wheelers,0,546,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-09-01,Sikkim,4-Wheelers,0,509,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-10-01,Sikkim,2-Wheelers,0,398,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-10-01,Sikkim,4-Wheelers,0,389,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-11-01,Sikkim,2-Wheelers,0,470,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-11-01,Sikkim,4-Wheelers,0,403,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-12-01,Sikkim,2-Wheelers,0,365,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-12-01,Sikkim,4-Wheelers,0,318,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2024-01-01,Sikkim,2-Wheelers,0,509,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2024-01-01,Sikkim,4-Wheelers,0,422,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2024-02-01,Sikkim,2-Wheelers,0,408,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2024-02-01,Sikkim,4-Wheelers,0,375,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2024-03-01,Sikkim,2-Wheelers,0,399,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2024-03-01,Sikkim,4-Wheelers,0,455,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Andaman & Nicobar Island,2-Wheelers,0,515,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Arunachal Pradesh,2-Wheelers,0,1256,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Arunachal Pradesh,4-Wheelers,0,724,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Assam,4-Wheelers,0,6576,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Chhattisgarh,4-Wheelers,0,1563,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,DNH and DD,4-Wheelers,0,278,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Jammu and Kashmir,4-Wheelers,0,5107,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Ladakh,2-Wheelers,0,2,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Ladakh,4-Wheelers,0,20,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Manipur,4-Wheelers,0,808,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Meghalaya,2-Wheelers,0,1189,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Mizoram,2-Wheelers,0,1507,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Mizoram,4-Wheelers,0,281,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Nagaland,2-Wheelers,0,561,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Nagaland,4-Wheelers,0,747,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Puducherry,4-Wheelers,0,655,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-04-01,Tripura,2-Wheelers,0,2906,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Tripura,4-Wheelers,0,289,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Andaman & Nicobar Island,2-Wheelers,0,4,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Andaman & Nicobar Island,4-Wheelers,0,1,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Arunachal Pradesh,2-Wheelers,0,552,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Arunachal Pradesh,4-Wheelers,0,302,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Assam,2-Wheelers,0,14723,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Assam,4-Wheelers,0,3295,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Bihar,4-Wheelers,0,2249,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Chandigarh,2-Wheelers,0,411,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Chhattisgarh,4-Wheelers,0,1387,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,DNH and DD,2-Wheelers,0,452,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,DNH and DD,4-Wheelers,0,202,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Delhi,2-Wheelers,0,22,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Delhi,4-Wheelers,0,21,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Jammu and Kashmir,4-Wheelers,0,2372,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Ladakh,2-Wheelers,0,11,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Ladakh,4-Wheelers,0,70,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Madhya Pradesh,4-Wheelers,0,195,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Manipur,2-Wheelers,0,288,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Manipur,4-Wheelers,0,9,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Meghalaya,2-Wheelers,0,332,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Mizoram,2-Wheelers,0,15,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Mizoram,4-Wheelers,0,4,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Nagaland,2-Wheelers,0,125,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Nagaland,4-Wheelers,0,126,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Odisha,4-Wheelers,0,722,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Punjab,4-Wheelers,0,5202,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Tripura,2-Wheelers,0,2063,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Tripura,4-Wheelers,0,192,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Uttarakhand,4-Wheelers,0,1145,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Andaman & Nicobar Island,2-Wheelers,0,2,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Arunachal Pradesh,2-Wheelers,0,727,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Arunachal Pradesh,4-Wheelers,0,565,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Ladakh,2-Wheelers,0,3,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Ladakh,4-Wheelers,0,112,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Manipur,2-Wheelers,0,89,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Manipur,4-Wheelers,0,18,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Meghalaya,2-Wheelers,0,354,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Meghalaya,4-Wheelers,0,246,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Mizoram,2-Wheelers,0,648,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Mizoram,4-Wheelers,0,298,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Nagaland,2-Wheelers,0,42,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Nagaland,4-Wheelers,0,54,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Puducherry,4-Wheelers,0,445,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Tripura,4-Wheelers,0,185,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Andaman & Nicobar Island,2-Wheelers,0,467,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Arunachal Pradesh,2-Wheelers,0,994,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Arunachal Pradesh,4-Wheelers,0,661,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Assam,4-Wheelers,0,4988,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,DNH and DD,4-Wheelers,0,276,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Ladakh,2-Wheelers,0,51,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Ladakh,4-Wheelers,0,552,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Manipur,2-Wheelers,0,474,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Manipur,4-Wheelers,0,68,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Meghalaya,2-Wheelers,0,726,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Mizoram,2-Wheelers,0,1096,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Mizoram,4-Wheelers,0,219,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Nagaland,2-Wheelers,0,583,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Nagaland,4-Wheelers,0,1039,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Puducherry,4-Wheelers,0,866,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Tripura,2-Wheelers,0,2211,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Tripura,4-Wheelers,0,352,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Andaman & Nicobar Island,2-Wheelers,0,406,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Arunachal Pradesh,2-Wheelers,0,1126,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Arunachal Pradesh,4-Wheelers,0,758,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,DNH and DD,4-Wheelers,0,321,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Himachal Pradesh,4-Wheelers,0,3641,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Jammu and Kashmir,4-Wheelers,0,5430,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Ladakh,2-Wheelers,0,30,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Ladakh,4-Wheelers,0,459,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Manipur,2-Wheelers,0,1016,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Manipur,4-Wheelers,0,561,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Meghalaya,2-Wheelers,0,1041,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Meghalaya,4-Wheelers,0,826,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Mizoram,2-Wheelers,0,1057,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Mizoram,4-Wheelers,0,240,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Nagaland,2-Wheelers,0,577,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Nagaland,4-Wheelers,0,763,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Tripura,2-Wheelers,0,2462,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Tripura,4-Wheelers,0,462,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Andaman & Nicobar Island,2-Wheelers,0,329,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Andaman & Nicobar Island,4-Wheelers,0,87,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Arunachal Pradesh,2-Wheelers,0,1260,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Arunachal Pradesh,4-Wheelers,0,637,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Assam,4-Wheelers,0,6036,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,DNH and DD,4-Wheelers,0,348,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Ladakh,2-Wheelers,0,26,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Ladakh,4-Wheelers,0,444,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Manipur,2-Wheelers,0,3492,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Manipur,4-Wheelers,0,1202,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Meghalaya,2-Wheelers,0,1396,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Meghalaya,4-Wheelers,0,905,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Mizoram,2-Wheelers,0,1465,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Mizoram,4-Wheelers,0,264,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Nagaland,4-Wheelers,0,681,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Tripura,2-Wheelers,0,2736,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Tripura,4-Wheelers,0,403,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Andaman & Nicobar Island,2-Wheelers,0,360,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,Arunachal Pradesh,2-Wheelers,0,1109,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,Arunachal Pradesh,4-Wheelers,0,570,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Assam,4-Wheelers,0,5877,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Ladakh,4-Wheelers,0,289,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Manipur,4-Wheelers,0,916,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Meghalaya,2-Wheelers,0,1414,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,Meghalaya,4-Wheelers,0,722,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Mizoram,2-Wheelers,0,1886,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,Mizoram,4-Wheelers,0,283,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Nagaland,2-Wheelers,0,650,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,Nagaland,4-Wheelers,0,567,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Puducherry,4-Wheelers,0,609,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Tripura,2-Wheelers,0,3015,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,Tripura,4-Wheelers,0,366,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-11-01,Andaman & Nicobar Island,2-Wheelers,0,413,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-11-01,Andaman & Nicobar Island,4-Wheelers,0,125,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-11-01,Arunachal Pradesh,2-Wheelers,0,1262,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-11-01,Arunachal Pradesh,4-Wheelers,0,646,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-11-01,Assam,4-Wheelers,0,5618,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-11-01,DNH and DD,4-Wheelers,0,330,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
